wave,flux
336,59.383044026674
338,448.723855193697
340,1419.3611547661844
342,2932.060554520168
344,4836.105927664325
346,6956.608454895022
348,9542.376244608273
350,12944.352814516988
352,17011.31845546832
354,21549.479026735527
356,26755.11254390419
358,32719.035915632587
360,39551.70178928479
362,47525.3339056629
364,56746.987224779485
366,66972.27376853635
368,78018.90530369125
370,89990.79571221507
372,103112.95892201005
374,117429.96151019447
376,133367.54083775473
378,152104.05081362306
380,174662.20565857142
382,203506.92232325143
384,246170.04102343688
386,316817.97984797903
388,434074.2850777718
390,613309.4954656735
392,858175.7058643012
394,1152545.8492165091
396,1465184.9683658562
398,1763564.831651086
400,2028184.1324776595
402,2261676.441660775
404,2484853.4142227503
406,2729907.252116359
408,3023469.7604147
410,3368917.442721417
412,3740241.522770917
414,4096334.36430415
416,4406361.12340231
418,4662447.697609405
420,4877330.349997479
422,5066644.323526638
424,5243843.424170745
426,5415592.124162597
428,5582546.616386581
430,5735943.814036128
432,5865982.734242235
434,5958159.467762082
436,6010853.216759491
438,6034946.46976751
440,6041461.784101619
442,6041374.900835284
444,6041394.398618161
446,6041153.536178554
448,6041280.147350242
450,6041125.391735593
452,6041386.823142222
454,6040931.074057123
456,6041650.693221985
458,6040841.001160117
460,6041009.821856747
462,6041719.427008358
464,6041012.093203303
466,6041386.095424313
468,6041656.472335356
470,6041425.865484653
472,6041236.097008621
474,6041609.71653523
476,6041171.587710754
478,6041869.10233197
480,6041276.437784827
482,6041800.543322892
484,6040966.084011092
486,6041660.24713936
488,6041415.043431145
490,6041632.281487066
492,6041370.868400135
494,6041434.870709697
496,6041412.435659644
498,6041184.964767763
500,6041413.321514217
502,6041683.849297261
504,6041852.788386308
506,6041408.799409942
508,6041700.828285542
510,6041211.801587309
512,6041519.85428287
514,6041233.706390587
516,6041379.59811716
518,6041610.905949703
520,6041542.546732855
522,6041659.217157616
524,6041483.940993822
526,6041123.8755392395
528,6041407.275993619
530,6041346.912891328
532,6040975.325747102
534,6041473.852068123
536,6041585.2454042705
538,6041257.45695582
540,6041438.623809086
542,6041523.359988412
544,6041494.298970767
546,6041536.33303826
548,6041219.917395266
550,6041353.275584732
552,6041412.03452082
554,6041361.475549606
556,6041476.313517338
558,6041562.135999458
560,6041816.774090275
562,6041697.703627017
564,6041460.918734124
566,6041263.061571768
568,6041266.476363937
570,6041630.788425772
572,6040650.119826512
574,6041865.571739351
576,6041316.747492622
578,6041163.345854856
580,6041252.233857018
582,6041108.4305607015
584,6041712.186008173
586,6041491.847458687
588,6041534.3814844275
590,6041933.723508373
592,6041444.565330683
594,6041201.359498611
596,6041720.577804864
598,6041613.209182447
600,6041730.9669037685
602,6041406.549082591
604,6041373.075383619
606,6041654.304643448
608,6041227.213326519
610,6041459.362124463
612,6041563.284794824
614,6041276.283775818
616,6041147.552773457
618,6040874.29856022
620,6041217.677428938
622,6042125.296878677
624,6042487.256870413
626,6041680.029367686
628,6041207.922632786
630,6041689.377362962
632,6041586.973914928
634,6041580.513131836
636,6041840.651958836
638,6041628.028076705
640,6041058.447847354
642,6040641.650174409
644,6040846.399441728
646,6041536.796421399
648,6042296.89100822
650,6042695.088100012
652,6042671.384028526
654,6042454.957902588
