wave,flux
336,1760.1224964622224
338,2205.1400165064547
340,2791.4668704314026
342,3541.015455672416
344,4435.226393823439
346,5469.55431808734
348,6677.83917568278
350,8114.886708060631
352,9999.891772944333
354,12966.901676182886
356,18272.145012753244
358,27434.428522970516
360,41306.728275874004
362,59370.03607510559
364,80201.3014137263
366,102537.95006928549
368,125443.27043237438
370,147782.88924744766
372,167496.68043457577
374,181858.32128965587
376,189307.99992998908
378,191566.63175439514
380,193264.69815531993
382,199465.94645595967
384,212896.94166512723
386,233942.17257777863
388,261859.51362331834
390,296757.2141898395
392,340359.708905571
394,393541.4013862304
396,455263.8604092817
398,522221.15540275397
400,592037.1438308392
402,663285.736281192
404,736771.3939783393
406,814307.9717601516
408,897780.2847730184
410,987463.9824871044
412,1081424.1670901137
414,1175947.2658526457
416,1270135.0434691398
418,1365325.7130577518
420,1465706.5321539056
422,1575520.4664422963
424,1698672.13167453
426,1835295.0026719735
428,1983443.0526234284
430,2139025.1063392167
432,2296670.1444477043
434,2454143.83755055
436,2611841.5426909733
438,2774592.8886373094
440,2948500.3057442447
442,3136804.461129529
444,3341055.3792850394
446,3558278.8402324067
448,3787045.4742337307
450,4025312.8895472055
452,4272379.933353836
454,4530191.393821263
456,4799507.340799783
458,5072027.1071181875
460,5332732.849569258
462,5566325.1332117915
464,5756261.189266842
466,5891096.828784833
468,5974638.263325673
470,6019648.02912676
472,6038048.090976849
474,6041539.251109035
476,6040951.061421862
478,6041299.373105529
480,6041516.940044315
482,6041249.263864982
484,6041785.979770631
486,6041598.998248836
488,6041511.163581636
490,6041448.340910445
492,6041371.0105599845
494,6041414.208645982
496,6041376.088396797
498,6041579.563161079
500,6041819.9143761825
502,6041265.933877651
504,6041357.931565082
506,6041261.782700952
508,6041509.595458608
510,6041806.086024747
512,6041573.793441325
514,6041607.344533786
516,6041254.628974317
518,6041592.77460527
520,6041588.291006784
522,6041452.274979169
524,6041156.873351844
526,6041513.301944476
528,6041102.763537914
530,6041415.61567435
532,6041657.00049165
534,6041391.5593308825
536,6041312.438242921
538,6041260.017979076
540,6041484.621658418
542,6041662.861179633
544,6040822.732687797
546,6040784.503904147
548,6041806.489978305
550,6041456.42717292
552,6041236.317960477
554,6041506.4154239865
556,6041306.82713098
558,6040808.693294167
560,6040922.674181308
562,6040936.097378209
564,6041479.532670868
566,6041313.030914329
568,6041526.532411705
570,6041795.649259147
572,6041333.04960894
574,6041311.443907583
576,6041479.367799579
578,6041200.274608147
580,6041332.389914447
582,6041563.946244982
584,6041379.321673349
586,6041660.031303546
588,6041397.845346418
590,6041375.72638961
592,6041760.568079708
594,6041874.774530585
596,6041608.19461951
598,6041520.2659017425
600,6041461.916417887
602,6041410.819470342
604,6041329.380343659
606,6041429.98427364
608,6041702.847808592
610,6041149.3743426325
612,6041177.463370017
614,6041685.708023658
616,6041495.409235112
618,6041494.531498593
620,6041330.936099043
622,6040796.003801974
624,6040120.377488425
626,6039183.025656666
628,6038902.308815544
630,6040137.349705566
632,6042267.456691479
634,6041957.53430583
636,6040709.608362384
638,6042544.814312563
640,6042422.407542723
642,6040216.403063034
644,6039683.834273945
646,6040303.792954925
648,6041367.2444378445
650,6042339.918060681
652,6041886.754782889
654,6040821.401730255
656,6041288.357201576
658,6042286.403940995
660,6042444.376275669
662,6041383.8108506175
664,6041485.713780191
666,6041443.835380181
668,6041107.99500075
670,6041563.761099008
672,6041267.206273669
674,6041163.483842693
676,6041536.128915782
678,6041346.243453486
680,6041150.28995629
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
