wave,flux
336,-5.8491229423193225
338,1.469009864258427
340,3.435991233940741
342,-3.861915162556428
344,0.39027342082772926
346,1.9081581282702733
348,2.0983454133562773
350,1.5490959451484012
352,-0.1516491967058923
354,-4.256078299675168
356,-0.357376447177576
358,112.9795529658042
360,784.9773458395251
362,2097.8834757190034
364,3416.667060431689
366,4427.137991015136
368,5736.596343184301
370,8112.572489611413
372,11551.7012891238
374,15130.981407904943
376,18557.82195783253
378,21598.644415555253
380,24524.446932765473
382,27825.497987613217
384,32660.168892811427
386,39434.72350071516
388,47613.112500167954
390,58106.41290521942
392,76307.60638900191
394,102891.49288699802
396,133423.3491981706
398,157688.03719472673
400,174997.36471837244
402,188032.83086828154
404,201800.97436456874
406,216934.9344334413
408,233885.46626955213
410,253337.53882929054
412,276447.18753197807
414,303618.67446400336
416,335856.38217948563
418,377230.222489175
420,436930.80141399003
422,530402.8455463083
424,675537.3400314121
426,884138.0801624705
428,1151014.0538609738
430,1447592.4299304397
432,1727990.1540296914
434,1950848.3519273733
436,2101862.0706041753
438,2205297.7325103055
440,2315191.1937905457
442,2487770.441834749
444,2756094.7992547546
446,3113701.1179402256
448,3517816.9930337374
450,3907873.7433273527
452,4228500.662034538
454,4448905.871065754
456,4570081.162255388
458,4611612.466620045
460,4607242.088271878
462,4592339.617499496
464,4598543.98300075
466,4659756.3490041
468,4789567.944558272
470,4981042.028483544
472,5218154.296139318
474,5470864.890421017
476,5691011.489197562
478,5853221.852709211
480,5961107.225426895
482,6020255.896253238
484,6040582.878799043
486,6041275.073001441
488,6041685.193692332
490,6041102.278723673
492,6041564.565700352
494,6041552.949641189
496,6041580.423926543
498,6041668.546296084
500,6041622.761796721
502,6041593.457645308
504,6041621.358890317
506,6041609.664889921
508,6041571.16066495
510,6041313.676172711
512,6041342.380989983
514,6041482.590328642
516,6041709.694204757
518,6040718.74428552
520,6041360.053716791
522,6041256.216458966
524,6041129.444833228
526,6041679.919771313
528,6041461.446025727
530,6041282.843217827
532,6041697.959219325
534,6041547.405390944
536,6040926.902216647
538,6041216.341078263
540,6041713.431419403
542,6041217.932439814
544,6041505.267814964
546,6041517.383736779
548,6041566.104309154
550,6041561.716952085
552,6041334.341605988
554,6041628.142137394
556,6041402.091082938
558,6041337.364244322
560,6041686.715311396
562,6041571.714235957
564,6041465.487120854
566,6041319.48939
568,6041540.972928847
570,6041458.403031816
572,6041458.159161279
574,6041300.289632108
576,6041347.903896352
578,6041465.260255275
580,6041440.659220646
582,6041427.1190454215
584,6041399.040369258
586,6041276.431178981
588,6041498.62714963
590,6041477.730959604
592,6041483.61638445
594,6041460.5526787285
596,6041448.120802578
598,6041672.753645448
600,6041403.049362337
602,6041296.1833899
604,6041131.001665767
606,6040947.711821266
608,6041292.819387922
610,6041234.038483195
612,6041421.476653568
614,6041714.2046438325
616,6041415.007477126
618,6041302.221458484
620,6041675.357599239
622,6041580.08881106
624,6040642.559672562
626,6041649.564987449
628,6042692.731401692
630,6042027.770495079
632,6041493.284239231
634,6041868.274281758
636,6042067.029306668
638,6040916.511273785
640,6041338.142366995
642,6042415.258434369
644,6041476.754686397
646,6041268.231402563
648,6042437.073570658
650,6043320.121818619
652,6042594.090749133
654,6041766.314075249
656,6043142.21366507
658,6042090.655880673
660,6038249.92160072
662,6038007.410595041
664,6039797.926609831
666,6040701.724691744
668,6042942.534050258
670,6044653.629860782
672,6041500.162007751
674,6038418.570760656
676,6039621.834199283
678,6041297.800670511
680,6042828.167305519
682,6046133.396832631
684,6042782.53082574
686,6041513.034737327
688,6040964.568609116
690,6041270.292496055
692,6041317.797331936
694,6041848.294195054
696,6041497.217903534
698,6041199.288544536
700,6041453.644908426
702,6041828.693051532
704,6040860.427694412
706,6041675.622790694
708,6041571.6816447945
710,6041346.454989615
712,6041546.234560797
714,6041858.824615336
716,6041142.5820534965
