wave,flux
336,1.9529622452433772
338,0.6495870736383036
340,-2.7231334899227932
342,-1.540542209189135
344,14.051360910026954
346,35.52310087768272
348,84.52945897688322
350,180.116832784295
352,337.3874007198127
354,552.9516803563931
356,812.1532220305841
358,1040.1128772794925
360,1256.4460823072582
362,1508.3569164966436
364,1845.4846718202318
366,2311.2273724685997
368,2926.9811737500727
370,3615.9133619487066
372,4403.440815596505
374,5357.375186257492
376,6562.8834746150615
378,8140.5012271164305
380,10075.8705656927
382,12197.014849648936
384,14369.740531445928
386,16631.712199726317
388,19190.71452516963
390,22981.212439347986
392,30143.20820791988
394,40938.381632651166
396,54048.19424113959
398,66520.6154792975
400,78686.33288026549
402,91795.93777121749
404,108281.5438219526
406,129609.21258044995
408,156922.56471200383
410,190738.91058645828
412,230335.7846091322
414,273919.30947106576
416,318998.7728895147
418,362325.4671685749
420,400354.44783560943
422,430687.9375494475
424,453537.1882278525
426,472704.95453298034
428,494484.49088926456
430,524366.6213340843
432,565719.2488103227
434,618909.901039658
436,682752.0335919101
438,755422.3941197036
440,834666.1955088397
442,918010.9618002379
444,1003452.6242565457
446,1092297.4663905755
448,1187779.497122196
450,1297279.9053958976
452,1428650.61379942
454,1600563.9136631407
456,1829371.185189154
458,2113780.5769965267
460,2445587.67179526
462,2809322.2716186075
464,3159922.438322282
466,3473336.3061677297
468,3744574.5170185417
470,3975803.050968128
472,4183165.339159884
474,4402592.563501286
476,4645365.767548887
478,4908477.318513223
480,5180779.882840214
482,5442414.293863842
484,5666126.312371682
486,5829849.284259369
488,5940498.163929425
490,6005793.684601919
492,6035172.467527826
494,6041590.501873563
496,6041226.941758397
498,6041789.916058451
500,6041571.411767506
502,6041416.129424591
504,6041417.447851728
506,6041715.601419332
508,6041505.781833225
510,6041612.577277893
512,6041221.284814915
514,6041521.409297967
516,6041355.220865755
518,6040951.687761734
520,6041344.1735305535
522,6041566.751683194
524,6041517.763393954
526,6041475.899988136
528,6041282.097394964
530,6041008.668358503
532,6041039.645095126
534,6041505.435764949
536,6041436.869585406
538,6041253.088996347
540,6041280.577396599
542,6041594.011260997
544,6041333.338050821
546,6041514.837697988
548,6041208.254526377
550,6041095.591713803
552,6041341.818182702
554,6041590.199438703
556,6041729.625486816
558,6041873.734730556
560,6041563.2462012
562,6041356.512823077
564,6041242.845129601
566,6041574.167278457
568,6041533.708581822
570,6041165.284528057
572,6041385.990116018
574,6041302.186378103
576,6041497.069737195
578,6041555.101370347
580,6041663.248901571
582,6041549.124252129
584,6041314.427247335
586,6041763.011938768
588,6041112.451658767
590,6041376.705042461
592,6041468.616385276
594,6041314.221142509
596,6041436.68011873
598,6041224.666060011
600,6041049.091850826
602,6041310.365842289
604,6041435.62845636
606,6041195.081056225
608,6041219.041093349
610,6041567.950155115
612,6041701.140926367
614,6041424.772452356
616,6041117.095025977
618,6041259.3345606495
620,6041767.6078016
622,6041613.799661174
624,6040464.782784529
626,6040880.981143751
628,6041392.30196092
630,6040880.486551353
632,6041270.91627038
634,6042035.1836933065
636,6041855.517728849
638,6040402.455189648
640,6040368.023116349
642,6041299.253564907
644,6041222.491814781
646,6041806.010750752
648,6041624.665851413
650,6041390.279798104
652,6041705.281028391
654,6041397.689484536
656,6041151.217860949
658,6041511.431283319
660,6041551.262290383
662,6041377.486709174
664,6041484.487439371
666,6041443.750089349
668,6041107.991048771
670,6041563.760999665
672,6041267.2062764475
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
