wave,flux
336,2.1514069537541647
338,-2.4557374977804525
340,2.602046731400124
342,0.052574759225715355
344,-2.811500581362916
346,-2.3590693413451795
348,2.1658551975307425
350,-1.8905874728717709
352,1.3585094912364963
354,3.104475649233654
356,12.727882793598514
358,203.42097073854123
360,774.3164770235325
362,1704.227075469623
364,2877.939070209588
366,4187.43676110537
368,5635.488677195055
370,7377.047038741488
372,9655.014320297472
374,12457.107448836723
376,15596.35156375834
378,19039.23403732075
380,22805.176062164384
382,26906.337056488544
384,31630.941172408595
386,37241.639569048566
388,43890.42787635025
390,52914.849105030946
392,68874.78731227679
394,91905.34020957565
396,118414.10524165625
398,140069.16873571812
400,156396.75776657293
402,169114.26332547332
404,182434.23527850074
406,197212.6746278755
408,213842.24916044122
410,232478.55165692768
412,253471.45221858748
414,277439.5354450633
416,306546.258285796
418,346068.83553957555
420,405176.2301842958
422,494903.5693361894
424,625097.1026912944
426,798549.7799327951
428,1008272.8288679146
430,1236845.0665458988
432,1462144.369556891
434,1665463.8880166435
436,1838517.7231629018
438,1986816.1736159313
440,2123621.5410640296
442,2266553.2438771296
444,2430619.9268169487
446,2623389.009526668
448,2847897.705184014
450,3098550.0125996964
452,3364845.1346101165
454,3642433.4596129255
456,3930619.581349416
458,4220919.178416378
460,4507495.02042512
462,4785162.5830769455
464,5031775.9985943185
466,5244661.459174044
468,5426682.805130603
470,5579654.47254186
472,5708254.6015873
474,5820022.989411404
476,5908573.819613289
478,5970833.935627633
480,6011519.65948317
482,6033582.825909902
484,6041158.88439192
486,6041441.515313208
488,6041307.64222232
490,6041538.313320525
492,6041260.723446696
494,6041640.019494585
496,6041063.5294740945
498,6041381.0541532505
500,6041283.90814254
502,6041464.764086387
504,6041275.437464361
506,6041377.990060442
508,6041553.989566776
510,6041891.110198573
512,6041173.157412705
514,6041583.047682021
516,6041282.9025016455
518,6041412.666515478
520,6041275.425308614
522,6041642.526393935
524,6041647.7051064605
526,6041742.992888504
528,6041412.7574644005
530,6041445.771391695
532,6041587.596708503
534,6041737.737054266
536,6041329.89855956
538,6041513.033680227
540,6041283.106944137
542,6041417.186422434
544,6041614.188758103
546,6041364.956579586
548,6041333.366940571
550,6041452.428803453
552,6041285.206558789
554,6041340.42114782
556,6041083.848691123
558,6041403.268401099
560,6041799.149074704
562,6041248.567988298
564,6041632.518182463
566,6041643.664491243
568,6041540.116561939
570,6041562.418736131
572,6041225.687847355
574,6041919.640312888
576,6041380.099687604
578,6041739.642483744
580,6041687.224625679
582,6040897.616405674
584,6041169.385343891
586,6041104.654569196
588,6041240.90254402
590,6041395.201429946
592,6041560.47192398
594,6041558.81749875
596,6041393.112763397
598,6041450.0611743275
600,6041654.918207508
602,6041281.349962037
604,6041299.145959308
606,6041576.60611436
608,6040868.656566604
610,6041068.727753285
612,6041337.051869143
614,6041105.050684038
616,6040899.451199191
618,6040885.727064099
620,6041885.206014695
622,6042440.657356645
624,6040920.284262164
626,6040619.101900129
628,6041361.442035915
630,6041705.344943329
632,6041437.583283894
634,6040776.861878778
636,6041047.026768381
638,6042893.685702898
640,6042000.921136695
642,6040412.590045478
644,6042487.706026103
646,6042876.135005683
648,6041044.783445152
650,6040385.447778042
652,6040726.66796617
654,6041174.032393804
656,6041141.284970131
658,6041510.7914378755
660,6041551.243894299
662,6041377.487092683
664,6041484.487513738
666,6041443.750094523
668,6041107.991049011
670,6041563.76099967
672,6041267.206276448
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
