wave,flux
336,-6.1029931775217
338,-0.40798910245080666
340,2.9982111030480336
342,-2.9115123918954917
344,4.004495710650653
346,-0.17538968091033202
348,-0.8946832266125396
350,-0.0534683334315488
352,0.038511361298040864
354,-5.1673665457355344
356,18.47714322274467
358,662.1759169075199
360,3120.6687318083455
362,7799.679570750229
364,13910.428634681231
366,20808.751562891786
368,28477.88379060831
370,37029.178042024694
372,46552.93792826267
374,57096.474652047684
376,68672.2544575633
378,81374.1672152121
380,95634.71947165905
382,112159.27591478908
384,131669.8169553574
386,154033.55092582022
388,178211.44509619597
390,203886.82821856177
392,231704.27485694466
394,261548.2815552581
396,291942.22994300234
398,321003.7997032958
400,348985.827741398
402,377127.68158391747
404,406792.0443550504
406,439735.0261183817
408,478507.81012917677
410,525409.9883111812
412,581811.263753546
414,649830.6194403429
416,736630.589580886
418,862232.0826274111
420,1064892.387194768
422,1399998.0586614308
424,1926781.897111413
426,2675462.0656079743
428,3566361.5660760025
430,4461328.290241181
432,5207051.52128602
434,5688722.454007286
436,5939791.131776683
438,6030485.786427015
440,6041386.61535515
442,6041417.016721591
444,6041279.143945274
446,6041304.706414971
448,6041237.002881736
450,6041320.398726291
452,6041248.623841508
454,6041588.56662124
456,6041719.789410465
458,6041793.429785965
460,6041446.0096459035
462,6041131.666071986
464,6041827.712456293
466,6041027.90243988
468,6041361.143886891
470,6041415.469598033
472,6041482.457473441
474,6041341.548838883
476,6041326.526765415
478,6041610.635868979
480,6041350.915710341
482,6041794.168543648
484,6041132.490354581
486,6041225.037661571
488,6041314.743666639
490,6041097.527247081
492,6041227.504321852
494,6041270.004619446
496,6041410.542353484
498,6041635.154600688
500,6041328.771994578
502,6041508.085797109
504,6041229.220707275
506,6041308.787331681
508,6041113.329588413
510,6041623.4113082355
512,6041181.602532782
514,6041501.283736979
516,6040982.173144246
518,6041386.054680788
520,6041431.348837512
522,6041552.409682603
524,6041585.01988935
526,6041036.211643531
528,6041338.305510407
530,6041463.89378759
532,6041045.867312325
534,6041114.24731132
536,6041491.527393931
538,6041634.09999083
540,6040937.977282925
542,6041299.460524019
544,6041351.221399731
546,6041403.163667438
548,6041799.710916322
550,6041371.85774964
552,6040897.6965599125
554,6041340.074709156
556,6041625.0771597
558,6041832.178597545
560,6041520.972339369
562,6041642.352026909
564,6041263.525079637
566,6040974.212091951
568,6041478.549181268
570,6041548.800833057
572,6041314.903183479
574,6041029.058591141
576,6041454.22840849
578,6041611.232621926
580,6041593.275839762
582,6041662.961193468
584,6041440.725876317
586,6041264.020652919
588,6041311.987188184
590,6041372.0455046715
592,6041217.37455849
594,6041372.188166198
596,6041581.694760175
598,6041151.494875536
600,6041341.170320527
602,6041470.1583782425
604,6041429.71850491
606,6041559.504554716
608,6041757.014963266
610,6041685.672609969
612,6041480.281289153
614,6041489.871351774
616,6041709.405412331
618,6041503.862798346
620,6040991.998563311
622,6041076.906419248
624,6041973.831300982
626,6041537.801410765
628,6041172.52651229
630,6041858.460331959
632,6041823.935196295
634,6041706.827783178
636,6041713.467787358
638,6041314.8501914665
640,6041305.428592191
642,6041671.267870168
644,6041781.342510862
646,6041704.287129113
648,6041639.354318121
650,6041398.701594155
652,6041705.662927006
654,6041397.689641963
656,6041151.217037395
658,6041511.431230268
660,6041551.262288859
662,6041377.486709206
664,6041484.487439377
666,6041443.750089349
668,6041107.991048771
670,6041563.760999665
672,6041267.2062764475
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
